# Generated Item Translations
# Format: key,English,Portuguese
# Total items: 280
#
# NOTE: Portuguese translations need to be filled in manually
# Copy these lines to localization/translations.csv and translate the third column


# BOW Items
item_wooden_bow.item_name,Bow,Bow

# COMBAT Items
item_arrows_name,Arrows,Arrows
item_arrows_desc,Bundle of arrows. Consumable ammunition.,Bundle of arrows. Consumable ammunition.
item_bandages_name,Bandages,Bandages
item_bandages_desc,Simple bandages.,Simple bandages.
item_greater_health_potion_name,Greater Health Potion,Greater Health Potion
item_greater_health_potion_desc,Master healing potion.,Master healing potion.
item_health_potion_name,Health Potion,Health Potion
item_health_potion_desc,Potent healing potion.,Potent healing potion.
item_iron_boots_name,Iron Boots,Iron Boots
item_iron_boots_desc,Iron-reinforced boots.,Iron-reinforced boots.
item_iron_helmet_name,Iron Helmet,Iron Helmet
item_iron_helmet_desc,Iron helmet with leather padding.,Iron helmet with leather padding.
item_iron_sword_name,Iron Sword,Iron Sword
item_iron_sword_desc,Sturdy iron sword.,Sturdy iron sword.
item_leather_chest_name,Leather Chest,Leather Chest
item_leather_chest_desc,Leather chest armor.,Leather chest armor.
item_legendary_siege_engine_name,Legendary Siege Engine,Legendary Siege Engine
item_legendary_siege_engine_desc,Devastating siege weapon of incredible power. Can break any fortification.,Devastating siege weapon of incredible power. Can break any fortification.
item_legendary_weapon_name,Dragonslayer,Dragonslayer
item_legendary_weapon_desc,Masterwork weapon of incredible power. Too big to be called a sword.,Masterwork weapon of incredible power. Too big to be called a sword.
item_masterwork_armor_set_name,Armor of the Hawk,Armor of the Hawk
item_masterwork_armor_set_desc,Complete set of the finest armor.,Complete set of the finest armor.
item_medical_kit_name,Medical Kit,Medical Kit
item_medical_kit_desc,Complete medical kit.,Complete medical kit.
item_minor_health_potion_name,Minor Health Potion,Minor Health Potion
item_minor_health_potion_desc,Basic healing potion.,Basic healing potion.
item_reinforced_bow_name,Reinforced Bow,Reinforced Bow
item_reinforced_bow_desc,Metal-reinforced bow. High-tier ranged weapon.,Metal-reinforced bow. High-tier ranged weapon.
item_reinforced_gloves_name,Reinforced Gloves,Reinforced Gloves
item_reinforced_gloves_desc,Iron-reinforced leather gloves.,Iron-reinforced leather gloves.
item_steel_chestplate_name,Steel Chestplate,Steel Chestplate
item_steel_chestplate_desc,Master steel chestplate.,Master steel chestplate.
item_steel_sword_name,Steel Sword,Steel Sword
item_steel_sword_desc,Master-crafted steel sword. High-tier WAR item. Complex interdependent craft.,Master-crafted steel sword. High-tier WAR item. Complex interdependent craft.
item_wooden_bow_name,Wooden Bow,Wooden Bow
item_wooden_bow_desc,Simple bow.,Simple bow.

# CONSTRUCTION Items
item_bridge_section_name,Bridge Section,Bridge Section
item_bridge_section_desc,Modular bridge section for crossing rivers and canyons.,Modular bridge section for crossing rivers and canyons.
item_fortification_section_name,Fortification Section,Fortification Section
item_fortification_section_desc,Heavy fortification.,Heavy fortification.
item_grand_monument_name,Grand Monument,Grand Monument
item_grand_monument_desc,Monumental structure celebrating great achievements. A wonder of the world.,Monumental structure celebrating great achievements. A wonder of the world.
item_guild_hall_section_name,Guild Hall Section,Guild Hall Section
item_guild_hall_section_desc,Structural component for building guild halls.,Structural component for building guild halls.
item_memorial_plaque_name,Memorial Plaque,Memorial Plaque
item_memorial_plaque_desc,Engraved plaque to commemorate important events or people.,Engraved plaque to commemorate important events or people.
item_monument_base_name,Monument Base,Monument Base
item_monument_base_desc,Monument foundation.,Monument foundation.
item_reinforced_door_name,Reinforced Door,Reinforced Door
item_reinforced_door_desc,Heavy reinforced door. Security construction.,Heavy reinforced door. Security construction.
item_ultimate_forge_core_name,Ultimate Forge Core,Ultimate Forge Core
item_ultimate_forge_core_desc,The Heart of Creation. A legendary mega-component combining siege weaponry\, eternal flame\, and ultimate fire magic. One of the components required to forge KRAK.,The Heart of Creation. A legendary mega-component combining siege weaponry\, eternal flame\, and ultimate fire magic. One of the components required to forge KRAK.
item_wall_section_name,Wall Section,Wall Section
item_wall_section_desc,Stone wall section.,Stone wall section.

# CONSUMABLES Items
item_antidote_name,Antidote,Antidote
item_antidote_desc,Powerful remedy that neutralizes poisons and toxins.,Powerful remedy that neutralizes poisons and toxins.
item_beer_name,Beer,Beer
item_beer_desc,Rich\, flavorful beer brewed with rare herbs. A favorite at celebrations and taverns.,Rich\, flavorful beer brewed with rare herbs. A favorite at celebrations and taverns.
item_fire_resistance_potion_name,Fire Resistance Potion,Fire Resistance Potion
item_fire_resistance_potion_desc,Grants fire resistance.,Grants fire resistance.
item_miracle_elixir_name,Miracle Elixir,Miracle Elixir
item_miracle_elixir_desc,Ultimate alchemical creation. Grants miraculous healing and regeneration.,Ultimate alchemical creation. Grants miraculous healing and regeneration.
item_night_vision_potion_name,Night Vision Potion,Night Vision Potion
item_night_vision_potion_desc,Grants night vision. Special potion.,Grants night vision. Special potion.

# FOOD Items
item_hearty_stew_name,Hearty Stew,Hearty Stew
item_hearty_stew_desc,Nutritious stew.,Nutritious stew.
item_honey_glazed_ham_name,Honey-Glazed Ham,Honey-Glazed Ham
item_honey_glazed_ham_desc,Honey-glazed boar ham.,Honey-glazed boar ham.
item_luxury_pastries_name,Luxury Pastries,Luxury Pastries
item_luxury_pastries_desc,Fine pastries with honey and nuts.,Fine pastries with honey and nuts.
item_seasoned_meat_name,Seasoned Meat,Seasoned Meat
item_seasoned_meat_desc,Expertly seasoned meat. Luxury food item.,Expertly seasoned meat. Luxury food item.
item_spiced_roast_name,Spiced Roast,Spiced Roast
item_spiced_roast_desc,Luxury spiced meat.,Luxury spiced meat.

# FURNITURE Items
item_decorative_statue_name,Decorative Statue,Decorative Statue
item_decorative_statue_desc,Finely carved statue for decoration. Shows artistic skill.,Finely carved statue for decoration. Shows artistic skill.
item_display_cabinet_name,Display Cabinet,Display Cabinet
item_display_cabinet_desc,Glass display cabinet.,Glass display cabinet.
item_eternal_flame_brazier_name,Eternal Flame Brazier,Eternal Flame Brazier
item_eternal_flame_brazier_desc,Brazier containing an eternal flame. Never needs fuel\, lights the darkest nights.,Brazier containing an eternal flame. Never needs fuel\, lights the darkest nights.
item_fine_chair_name,Fine Chair,Fine Chair
item_fine_chair_desc,Quality hardwood chair.,Quality hardwood chair.
item_ornate_table_name,Ornate Table,Ornate Table
item_ornate_table_desc,Magnificent marble table.,Magnificent marble table.
item_throne_name,Throne,Throne
item_throne_desc,Royal throne.,Royal throne.
item_trophy_mount_name,Trophy Mount,Trophy Mount
item_trophy_mount_desc,Mounted display for hunting trophies and rare creature parts.,Mounted display for hunting trophies and rare creature parts.

# GEARS Items
item_copper_ring_name,Ring,Ring
item_copper_ring_desc,Copper ring -description,Copper ring -description

# GUILD Items
item_alchemy_table_name,Alchemy Table,Alchemy Table
item_alchemy_table_desc,Permanent alchemy table. Guild workshop! Guild craft: hardwood + glass + quality leather + tools.,Permanent alchemy table. Guild workshop! Guild craft: hardwood + glass + quality leather + tools.
item_forge_station_name,Forge Station,Forge Station
item_forge_station_desc,Permanent forge station. Guild workshop! Guild craft: iron ingots + stone blocks + coal + bellows.,Permanent forge station. Guild workshop! Guild craft: iron ingots + stone blocks + coal + bellows.
item_tanning_rack_name,Tanning Rack,Tanning Rack
item_tanning_rack_desc,Permanent tanning rack. Guild workshop! Guild craft: oak planks + quality leather + iron fittings + tools.,Permanent tanning rack. Guild workshop! Guild craft: oak planks + quality leather + iron fittings + tools.
item_ultimate_endgame_3_name,Celestial Forge,Celestial Forge
item_ultimate_endgame_3_desc,Divine forge that channels starlight. Creates artifacts of legend.,Divine forge that channels starlight. Creates artifacts of legend.

# HOUSEHOLD Items
item_blanket_name,Blanket,Blanket
item_blanket_desc,Warm blanket.,Warm blanket.
item_candle_set_name,Candle Set,Candle Set
item_candle_set_desc,Beeswax candles.,Beeswax candles.
item_lantern_name,Lantern,Lantern
item_lantern_desc,Metal lantern.,Metal lantern.
item_luxury_polish_name,Luxury Polish,Luxury Polish
item_luxury_polish_desc,Furniture polish. Household luxury item.,Furniture polish. Household luxury item.
item_luxury_soap_name,Luxury Soap,Luxury Soap
